material_id,formula,nelements,elements,elements_clean,crystal_system,band_gap,is_gap_direct,n,e_total,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,energy_above_hull,formation_energy_per_atom,density,is_stable,is_magnetic,total_magnetization,weighted_work_function,theoretical,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-2961,MgSiP2,3,['Mg' 'P' 'Si'],"Mg,P,Si",Tetragonal,1.3728,True,2.9358924770274992,11.598041706669477,8.619464636666669,72.206,34.75,0.0,-0.411262341071428,2.2814030052604393,True,False,0.0,,False,False,False,0.9966436451938474,0.7011429038747964,1.0,0.9160348026428794,0.6288206316719919,1.0,0.1,1.0046196304433124
mp-4666,CdSiP2,3,['Cd' 'P' 'Si'],"Cd,P,Si",Tetragonal,1.4257,True,3.289249344962059,13.51971566666972,10.819161253333334,74.415,39.677,0.0,-0.272582178988093,3.960434743397996,True,False,0.0,,False,False,False,0.9773098516122082,0.5950079572479298,1.0,0.9986315939404006,0.6510792423516344,1.0,0.1,0.9984813198164649
mp-27175,InOF,3,['F' 'In' 'O'],"F,In,O",Orthorhombic,1.330699999999999,True,,,,135.341,57.034,0.0,-2.375712292222223,6.544948070996765,True,False,1e-07,,False,False,False,0.9997297552726865,0.7814250370866086,1.0,0.5,0.9960458548291378,1.0,0.1,0.9917507798640766
mp-9843,Sr3(AlP2)2,3,['Al' 'P' 'Sr'],"Al,P,Sr",Monoclinic,1.3365,True,2.868023953293743,16.940428106666673,8.22556139666667,51.236,29.669,0.0,-1.163182541878307,3.259068581765055,True,False,0.0,,False,False,False,0.9999617194827177,0.7707421563691875,1.0,0.8783642080747736,0.422471030152478,1.0,0.1,0.9896034875525214
mp-1190,ZnSe,2,['Se' 'Zn'],"Se,Zn",Cubic,1.1663000000000001,True,2.705908309606958,10.714932109999985,7.321939779999988,56.491,27.288,0.0,-0.9515610311718761,5.274845268778988,True,False,0.0,,False,False,False,0.910021975146659,0.9881612471940318,1.0,0.7686320484891184,0.47213219368156295,1.0,0.1,0.9882377075072935
mp-14001,Ba4SiAs4,3,['As' 'Ba' 'Si'],"As,Ba,Si",Cubic,1.0362,True,3.153000144307006,21.3457425,9.941409910000003,,,0.0,-0.9948720494444391,4.795156075045837,True,False,0.0,,False,False,False,0.7494466648091772,0.9617376721695602,1.0,0.9916713463525934,0.5,1.0,0.1,0.9803730189806174
mp-28347,K3Al2As3,3,['Al' 'As' 'K'],"Al,As,K",Monoclinic,1.1862,True,2.589467997485197,12.75593833,6.70534451,,,0.0,-0.5576802861562501,2.931152546592913,True,False,0.0,,False,False,False,0.9287458744553815,0.9759471058251799,1.0,0.678531436884352,0.5,1.0,0.1,0.9803582500202752
mp-2176,ZnTe,2,['Te' 'Zn'],"Te,Zn",Cubic,1.073299999999999,True,3.002871076153622,11.975580520000014,9.01723470000001,42.833,22.571,0.0,-0.6841630333333321,5.616959252306423,True,False,0.0,,False,False,False,0.8006929159610328,0.9879570483042233,1.0,0.9471603756282265,0.3480915682008541,1.0,0.1,0.9752499994002111
mp-571195,ZnTe,2,['Te' 'Zn'],"Te,Zn",Trigonal,1.069,True,3.033265918664786,12.204421710001354,9.200702133333332,,,0.0036891283333320003,-0.680473905,5.424327600796479,False,False,0.001023099999999,,False,False,False,0.7949284844824451,0.9856539001953452,0.9288736399773914,0.9591053402981958,0.5,1.0,0.1,0.9726644171889902
mp-9666,K2NaGaP2,4,['Ga' 'K' 'Na' 'P'],"Ga,K,Na,P",Orthorhombic,1.307899999999999,True,2.569957001477921,13.13974034701159,6.6046789894453894,,,0.0,-0.44336723544416906,2.537849676287867,True,False,0.0,,False,False,False,0.9967851474905652,0.8218916360638874,1.0,0.6629377369439836,0.5,1.0,0.1,0.9719206928238219
mp-14091,AlAgSe2,3,['Ag' 'Al' 'Se'],"Ag,Al,Se",Tetragonal,1.135199999999999,True,2.654281432578944,9.700932379998548,7.045209923333334,52.422,18.993,0.0,-0.7432121020312501,4.941582476882665,True,False,0.0,,False,False,False,0.8771546169849802,0.9987172678495436,1.0,0.7294609571196627,0.433492232705881,1.0,0.1,0.971864611262214
mp-1101989,SrLiAs,3,['As' 'Li' 'Sr'],"As,Li,Sr",Orthorhombic,1.0323,True,2.989361027599934,19.761943229999996,8.936279353333333,,,0.0,-1.199801943055556,4.042408789528388,True,False,0.0,,False,False,False,0.743882057746248,0.958170646609911,1.0,0.9414024014795013,0.5,1.0,0.1,0.9709064716499738
mp-2412,LiP5,2,['Li' 'P'],"Li,P",Orthorhombic,1.3673,True,3.253667481986033,15.268706080000001,10.586352083333333,,,0.007694938690475,-0.239052472757935,2.336345668034438,False,False,0.0,,False,False,False,0.9976736788389129,0.7119392300812674,0.8573588037846374,0.9999880441389226,0.5,1.0,0.1,0.9705472117889161
mp-380,ZnSe,2,['Se' 'Zn'],"Se,Zn",Hexagonal,1.2004000000000001,True,2.679053952423709,10.399639229993161,7.177330079997098,56.264,27.422,0.004020032499999,-0.947540998671876,5.27537563285386,False,False,0.0,,False,False,False,0.9409168563457146,0.9647251855641463,0.9227465739020937,0.7484435787127561,0.4699454903940965,1.0,0.1,0.9698857212428972
mp-3917,Cd2GeO4,3,['Cd' 'Ge' 'O'],"Cd,Ge,O",Orthorhombic,1.0923,True,,,,99.731,33.82,0.0,-1.761721731071428,6.186916845450345,True,False,0.0,,False,False,False,0.8255253716139366,0.9957463502823827,1.0,0.5,0.8805120050304419,1.0,0.1,0.9687944959488856
mp-10577,Sr5NbN5,3,['N' 'Nb' 'Sr'],"N,Nb,Sr",Orthorhombic,1.2468,True,2.47744890428306,17.807999343333332,6.137753073333333,,,0.0,-1.0419662175,4.635683250236905,True,False,0.0017737,,False,False,False,0.97322060098646,0.9145496180882496,1.0,0.5882988724298707,0.5,1.0,0.1,0.9687324238243331
mp-5475,NaTaN2,3,['N' 'Na' 'Ta'],"N,Na,Ta",Trigonal,1.276499999999999,False,2.985629431125035,18.270443166655962,8.913983100000003,136.044,88.887,0.0,-1.139296941208332,8.088367141260694,True,False,0.0,,False,False,False,0.9874782761838514,0.8727832327197194,1.0,0.9397644291724494,0.9949392467581429,1.0,0.0,0.9682456430056025
mp-1080438,SrAgTeF,4,['Ag' 'F' 'Sr' 'Te'],"Ag,F,Sr,Te",Tetragonal,1.284699999999999,True,2.504315969148728,15.605032396666667,6.271598473333334,,,0.0,-2.160155414583333,6.034281461051804,True,False,0.0025533,,False,False,False,0.9904889872796147,0.8601052616130825,1.0,0.6100209779489452,0.5,1.0,0.1,0.9681411827542079
