material_id,formula,chemsys,band_gap,cbm,vbm,efermi,is_gap_direct,n,e_total,e_ionic,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,energy_above_hull,formation_energy_per_atom,equilibrium_reaction_energy_per_atom,density,density_atomic,volume,nsites,nelements,elements,crystal_system,theoretical,is_magnetic,total_magnetization,ordering,weighted_work_function,is_stable
mp-1211225,KTlSe2,K-Se-Tl,1.3576000000000001,2.9712,1.6136,1.6136323300000002,False,,,,,,,,,0.0,-0.872298192567711,-0.016194784875004,5.647349389187259,29.506897495661775,236.0551799652942,8,3,"['K', 'Se', 'Tl']",Tetragonal,True,False,0.0,NM,,True
mp-1211310,KTm(MoO4)2,K-Mo-O-Tm,3.1386,4.3253,1.1867,4.32529548,False,,,,,,,,,0.013101231458332,-2.537736695604168,,5.456142324425685,13.38875411555263,321.3300987732631,24,4,"['K', 'Mo', 'O', 'Tm']",Monoclinic,True,False,0.00038189999999900005,NM,,False
mp-1211532,KTm(MoO4)2,K-Mo-O-Tm,3.5609,3.612,0.0511,0.0514074,True,,,,,,,,,0.0,-2.550837927062501,-0.030448784166667003,4.642319954890631,15.735871010837359,755.3218085201933,48,4,"['K', 'Mo', 'O', 'Tm']",Orthorhombic,True,False,5.2100000000000006e-05,NM,,True
mp-1211971,KTm(SO5)2,K-O-S-Tm,0.23900000000000002,-0.6529,-0.8919,-0.65295432,False,,,,,,,,,0.296628029821429,-1.895922846410715,,3.226658245031415,15.88580225920674,889.6049265155774,56,4,"['K', 'O', 'S', 'Tm']",Monoclinic,True,True,15.9970761,FiM,,False
mp-865972,KTm2Cu3Se5,Cu-K-Se-Tm,1.048999999999999,4.7136,3.6646,3.75299745,False,,,,,,,,,0.0,-1.317912484451706,-0.015664732954542,6.5744313650793895,22.09815221612963,486.15934875485186,22,4,"['Cu', 'K', 'Se', 'Tm']",Orthorhombic,False,False,0.0,NM,,True
mp-753774,KTmO2,K-O-Tm,3.9715,4.9347,0.9632000000000001,1.12657789,True,,,,,85.994,50.551,0.847,0.254,0.0,-3.158537831812501,-0.1395380034375,6.5035147732123,15.321767588808855,61.28707035523542,4,3,"['K', 'O', 'Tm']",Trigonal,True,False,1e-06,NM,,True
mp-1191957,KU(TeO4)2,K-O-Te-U,0.2629,2.3563,2.0934,2.35594202,False,,,,,,,,,0.073808241249999,-2.256007802965277,,5.148233028180829,17.748664968388134,425.9679592413152,24,4,"['K', 'O', 'Te', 'U']",Orthorhombic,False,True,2.012242,FM,,False
mp-1225115,KU11(GeO19)2,Ge-K-O-U,0.2987,2.539,2.2403,2.39215583,False,,,,,,,,,0.070038538653845,-3.30906768312019,,7.01276816100663,15.530892741591968,1615.2128451255646,104,4,"['Ge', 'K', 'O', 'U']",Trigonal,True,True,1.999998199999999,FM,,False
mp-1201877,KU2(B5O12)2,B-K-O-U,0.195999999999999,0.31120000000000003,0.11520000000000001,0.11543086,False,,,,,,,,,0.13112941159909902,-2.6706868697004493,,3.535179150000098,12.787156012515853,946.2495449261731,74,4,"['B', 'K', 'O', 'U']",Monoclinic,False,True,10.0548548,FM,,False
mp-1223397,KU2(PO4)3,K-O-P-U,0.23360000000000003,5.5649,5.3313,5.31670219,True,,,,,,,,,0.029153575833333,-3.08767857812103,,5.583410708871535,13.21919822805288,475.89113620990366,36,4,"['K', 'O', 'P', 'U']",Monoclinic,True,True,8.0000002,FM,,False
mp-504555,KU2F9,F-K-U,0.17140000000000002,3.7839,3.6125,3.77984414,True,,,,,,,,,0.0,-3.8487941193541673,-0.00920548166665,6.545284026212316,14.506184587059872,696.2968601788739,48,3,"['F', 'K', 'U']",Orthorhombic,False,True,7.9999998,FiM,,True
mp-669376,KU2F9,F-K-U,0.2323,3.1312,2.8989000000000003,3.03775316,False,,,,,,,,,0.06834321125000101,-3.7804509081041653,,5.195241947008867,18.275779882327825,877.2374343517356,48,3,"['F', 'K', 'U']",Orthorhombic,True,True,16.0001916,FM,,False
mp-554037,KU2H5C4O15,C-H-K-O-U,2.1426,1.4316,-0.711,-0.71083034,False,,,,,,,,,0.049525400069445,-2.120449471425926,,3.563207547848926,13.950153169277304,753.3082711409744,54,5,"['C', 'H', 'K', 'O', 'U']",Monoclinic,False,False,0.0014006,NM,,False
mp-606691,KU2P3O14,K-O-P-U,2.346199999999999,2.8949,0.5487000000000001,0.60437091,True,,,,,,,,,0.0,-3.086994967808926,-0.032885017062492,4.3386411357969035,15.922993482569373,1273.8394786055499,80,4,"['K', 'O', 'P', 'U']",Orthorhombic,False,False,1.7100000000000002e-05,NM,,True
mp-1181495,KUC3O10,C-K-O-U,0.6464000000000001,0.1554,-0.491,-0.49063673,False,,,,,,,,,0.603802101250003,-1.6944926068166661,,3.23005170577152,16.216243109302034,972.974586558122,60,4,"['C', 'K', 'O', 'U']",Monoclinic,False,True,7.9997065,FM,,False
mp-1095429,KUClO3,Cl-K-O-U,1.758299999999999,2.5403000000000002,0.782,0.97183628,False,,,,,,,,,0.013651546666668,-3.143716590374997,,4.627344652503922,21.565807222849983,258.7896866741998,12,4,"['Cl', 'K', 'O', 'U']",Monoclinic,False,False,8e-05,NM,,False
mp-1195992,KUCrNO9,Cr-K-N-O-U,2.1177,1.0913,-1.0264,-1.02646386,False,,,,,,,,,0.0,-2.163838522288461,-0.017597723044881,3.61717010091693,17.201918427936896,894.4997582527186,52,5,"['Cr', 'K', 'N', 'O', 'U']",Monoclinic,False,False,0.0910392,NM,,True
mp-542558,KUCrO6,Cr-K-O-U,1.6413,2.6484,1.0071,0.9834443900000001,False,,,,,,,,,0.0,-2.7623031333055543,-0.009150192499994,4.778378033459759,16.41486531142124,590.9351512111647,36,4,"['Cr', 'K', 'O', 'U']",Monoclinic,False,True,4.0301506,FM,,True
mp-1196741,KUH3SO8,H-K-O-S-U,2.0209,1.8655,-0.1554,1.86530144,False,,,,,,,,,0.048780138013382005,-2.236365168999999,,3.699455924838296,14.113811787897074,790.3734601222361,56,5,"['H', 'K', 'O', 'S', 'U']",Monoclinic,True,False,0.000302099999999,NM,,False
mp-1204032,KUH3SO8,H-K-O-S-U,2.165499999999999,2.2965,0.131,2.29652535,True,,,,,,,,,0.009632218906239,-2.275513088107142,,3.92311721311634,13.309167634915635,745.3133875552755,56,5,"['H', 'K', 'O', 'S', 'U']",Monoclinic,False,False,0.033689699999999004,NM,,False
mp-1238290,KUH3SO8,H-K-O-S-U,2.0928,1.9741,-0.1187,1.9737956300000001,False,,,,,,,,,0.028160859441953002,-2.256984447571428,,3.765713023389178,13.865481601090204,776.4669696610514,56,5,"['H', 'K', 'O', 'S', 'U']",Monoclinic,True,False,0.0003406,NM,,False
mp-1205215,KUHSO7,H-K-O-S-U,2.1222,2.51,0.38780000000000003,0.50504064,False,,,,,,,,,0.0038878997443140004,-2.555387129181817,,4.270195973383774,14.92528622925256,1313.4251881742252,88,5,"['H', 'K', 'O', 'S', 'U']",Orthorhombic,False,False,0.0003036,NM,,False
mp-554888,KUI3O11,I-K-O-U,2.2768,3.6991,1.4223,1.52593113,False,,,,,,,,,0.0,-1.687038816937499,-0.008079482109376,4.926004418559247,17.567660415272933,2248.6605331549354,128,4,"['I', 'K', 'O', 'U']",Orthorhombic,False,False,0.0899968,NM,,True
mp-1199439,KUN3O11,K-N-O-U,2.4051,1.1322,-1.2729,1.13215394,True,,,,,,,,,0.0,-1.7002475517031241,-0.08332228214843401,3.274706343380665,15.692256156056139,2008.6087879751858,128,4,"['K', 'N', 'O', 'U']",Orthorhombic,False,False,0.1869429,NM,,True
mp-554783,KUN3O11,K-N-O-U,2.3262,1.1891,-1.1371,-1.02885026,False,,,,,,,,,0.00029041250000000005,-1.699957139203124,,3.329794388834249,15.432643813836789,493.84460204277724,32,4,"['K', 'N', 'O', 'U']",Monoclinic,False,False,0.0135566,NM,,False
mp-554887,KUNbO6,K-Nb-O-U,2.0161,3.6038,1.5877,2.51905889,True,,,,,,,,,0.0,-3.225167476916665,-0.007943115925925,5.678364396161121,15.142486474633804,1090.2590261736339,72,4,"['K', 'Nb', 'O', 'U']",Orthorhombic,False,False,0.0027575,NM,,True
mp-4126,KUO3,K-O-U,0.4454,5.2614,4.816,4.86787333,False,,,,,134.466,67.688,0.781,0.28400000000000003,0.0,-3.335109890449998,-0.068015091999994,6.7957793352570075,15.888786795898062,79.44393397949031,5,3,"['K', 'O', 'U']",Cubic,False,True,1.0,FM,,True
mp-721081,KUP(H2O3)3,H-K-O-P-U,2.4731,1.7323,-0.7408,-0.60689363,False,,,,,,,,,0.017588059027777003,-2.184265213994047,,3.331236936962762,12.687391033881399,913.4921544394607,72,5,"['H', 'K', 'O', 'P', 'U']",Orthorhombic,False,False,0.002341299999999,NM,,False
mp-556708,KUP3O11,K-O-P-U,2.2248,2.4702,0.2454,0.34318363,False,,,,,,,,,0.0014423591406250002,-2.913150250854909,,3.6499618427375813,15.526256495538181,1987.3608314288872,128,4,"['K', 'O', 'P', 'U']",Monoclinic,False,False,0.219246499999999,NM,,False
mp-557505,KUP3O11,K-O-P-U,2.323,2.5533,0.2303,0.32786373,False,,,,,,,,,0.0,-2.914592609995535,-0.029856373515629003,3.649345772969465,15.528877583764395,1987.6963307218425,128,4,"['K', 'O', 'P', 'U']",Monoclinic,False,False,0.0078298,NM,,True
mp-1204594,KUPO7F,F-K-O-P-U,0.1532,-0.2762,-0.4294,-0.42924703000000003,False,,,,,,,,,0.24308161518686902,-2.509388504035713,,3.9085432953118273,16.958996492021257,746.1958456489352,44,5,"['F', 'K', 'O', 'P', 'U']",Monoclinic,False,True,12.0081683,FM,,False
mp-560631,KUSi2O7,K-O-Si-U,0.5523,3.8544,3.3021000000000003,3.59836809,False,,,,,,,,,0.0,-3.33671847156818,-0.019979277979796,4.127406183364171,16.286435924296672,716.6031806690536,44,4,"['K', 'O', 'Si', 'U']",Tetragonal,False,True,4.0017188,FM,,True
mp-1211875,KUSiHO6,H-K-O-Si-U,2.168799999999999,2.8185000000000002,0.6497,2.8184140600000003,False,,,,,,,,,0.014150331541664,-2.988341220849999,,4.281488347282611,15.599648313921222,311.99296627842443,20,5,"['H', 'K', 'O', 'Si', 'U']",Monoclinic,True,False,2.9400000000000003e-05,NM,,False
mp-1189398,KUSiO7,K-O-Si-U,0.536,1.0517,0.5157,0.57507243,False,,,,,,,,,0.264067910166673,-2.546423193224998,,4.287051776255168,16.16008077182927,323.2016154365854,20,4,"['K', 'O', 'Si', 'U']",Monoclinic,False,True,2.0011347,FM,,False
mp-1204908,KUVIO10,I-K-O-U-V,0.38620000000000004,1.2398,0.8536,0.85365362,False,,,,,,,,,0.069704230535714,-2.046626014982142,,4.618095939238729,15.794651557430308,884.5004872160972,56,5,"['I', 'K', 'O', 'U', 'V']",Orthorhombic,False,True,3.9623296,FM,,False
mp-1181308,KUVO6,K-O-U-V,2.0305,2.2149,0.1844,0.16204813,True,,,,,,,,,0.011314454722217001,-2.976652479416666,,4.522902550663962,17.299035889480436,622.7652920212956,36,4,"['K', 'O', 'U', 'V']",Monoclinic,False,False,0.0012498,NM,,False
mp-1182771,KUVO6,K-O-U-V,1.249699999999999,1.2488000000000001,-0.0009000000000000001,1.24865274,True,,,,,,,,,0.692007010555552,-2.2959599235833332,,3.493604696600133,22.39573745269492,806.2465482970172,36,4,"['K', 'O', 'U', 'V']",Monoclinic,True,True,3.9968326999999992,FM,,False
mp-541148,KUVO6,K-O-U-V,1.9806,2.5147,0.5341,0.66548795,False,,,,,,,,,0.0,-2.987966934138888,-0.030252982222219,4.680019554942789,16.718274919583095,601.8578971049915,36,4,"['K', 'O', 'U', 'V']",Monoclinic,False,False,0.00039079999999900005,NM,,True
mp-645555,KUVO6,K-O-U-V,2.0137,1.9733,-0.040400000000000005,0.00777893,False,,,,,,,,,2.032555555153692e-05,-2.987946608583333,,4.349145153301297,17.990168364274435,647.6460611138797,36,4,"['K', 'O', 'U', 'V']",Monoclinic,True,False,0.0001075,NM,,False
mp-6376,KV(CuS2)2,Cu-K-S-V,1.076,3.5729,2.4969,2.72025673,False,2.426106712409823,13.278558566666666,7.392564786666667,5.88599378,,,,,0.0,-1.068431111531248,-0.008148739374997,3.163732008388126,22.660602085711346,362.56963337138154,16,4,"['Cu', 'K', 'S', 'V']",Orthorhombic,False,False,0.0033306,NM,,True
mp-10091,KV(CuSe2)2,Cu-K-Se-V,0.827199999999999,2.9264,2.0992,2.3512589200000003,False,2.653815050702165,18.408682136666666,11.365947813333333,7.042734323333334,,,,,0.000778245624999,-0.929177158953124,,4.357202285849762,25.389585944009053,406.23337510414484,16,4,"['Cu', 'K', 'Se', 'V']",Orthorhombic,False,False,0.002934,NM,,False
mp-559744,KV(IO4)2,I-K-O-V,2.7395,3.7077,0.9682000000000001,1.04526669,False,,,,,,,,,0.0,-1.4705246589375012,-0.008735261333339,4.221601251069533,15.466392353493134,742.3868329676704,48,4,"['I', 'K', 'O', 'V']",Monoclinic,False,False,0.0,NM,,True
