material_id,formula,chemsys,band_gap,cbm,vbm,efermi,is_gap_direct,n,e_total,e_ionic,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,energy_above_hull,formation_energy_per_atom,equilibrium_reaction_energy_per_atom,density,volume,nsites,nelements,elements,elements_clean,crystal_system,theoretical,is_magnetic,total_magnetization,ordering,weighted_work_function,is_stable,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-26978,Mn2P3O10,Mn-O-P,0.14420000000000002,2.7496,2.6054,2.58737296,False,,,,,,,,,0.030848976000001003,-2.503840145652709,,3.250233477555261,370.69906333418277,30,3,['Mn' 'O' 'P'],"Mn,O,P",Monoclinic,True,True,18.0052962,FM,,False,False,False,0.011463867745825527,0.005042162496165128,0.5395717443961532,0.5,0.5,0.0,0.0,0.2371637046689275
mp-1210598,Mn2TeO6,Mn-O-Te,0.5941999999999991,4.6339,4.0397,4.03992174,False,2.876249496016181,15.526917273333334,7.254106109999999,8.272811163333335,,,,,0.0,-1.785552806392076,-0.067202459018508,5.750675794349236,192.58400823969285,18,3,['Mn' 'O' 'Te'],"Mn,O,Te",Tetragonal,True,True,15.999941,FM,,True,False,False,0.17584011663942692,0.2152575152517487,1.0,0.8832311006994445,0.5,0.0,0.0,0.4578599893972821
mp-756556,Mn3Nb2Cr3O16,Cr-Mn-Nb-O,0.20240000000000002,2.1318,1.9294,1.92944376,False,,,,,,,,,0.07808060897320701,-2.239345627241379,,4.581453499449934,276.4049407152727,24,4,['Cr' 'Mn' 'Nb' 'O'],"Cr,Mn,Nb,O",Monoclinic,True,True,17.0016903,FiM,,False,False,False,0.01752427879206787,0.009300185908244687,0.2097975670801135,0.5,0.5,0.0,0.0,0.1649029404188538
mp-771853,Mn3Nb2Cr3O16,Cr-Mn-Nb-O,0.7195,2.3327,1.6132,1.73005277,False,,,,,,,,,0.068283338139874,-2.249142898074712,,4.476250270612593,282.9011575199378,24,4,['Cr' 'Mn' 'Nb' 'O'],"Cr,Mn,Nb,O",Triclinic,True,True,16.999920799999998,FM,,False,False,False,0.3002354492683968,0.4101991522585258,0.25521045440914797,0.5,0.5,0.0,0.0,0.29285221388234856
mp-861258,Mn3Si3O10,Mn-O-Si,1.280399999999999,3.4806,2.2002,2.2704573,True,,,,,,,,,0.074547199930572,-2.667680489612069,,3.42042930830343,397.18277792380036,32,3,['Mn' 'O' 'Si'],"Mn,O,Si",Monoclinic,True,True,26.0015741,FM,,False,False,False,0.9889608832120621,0.8668110839271628,0.22516000445251008,0.5,0.5,0.0,0.1,0.5926966960546958
mp-1297694,Mn5SnO8,Mn-O-Sn,0.40040000000000003,4.4625,4.0621,4.13225769,False,,,,,,,,,0.074613643928572,-1.9858434467610842,,4.9963670487072465,346.5708039136258,28,3,['Mn' 'O' 'Sn'],"Mn,O,Sn",Monoclinic,True,True,1.7100000000000002e-05,AFM,,False,False,False,0.06336139592969443,0.05631463173453204,0.2248609925542619,0.5,0.5,0.5,0.0,0.22995251269305197
mp-765618,Mn6O7F5,F-Mn-O,0.23039999999999902,2.1685,1.9381,2.13116062,False,3.500829304607695,20.192940446666668,7.937134626666666,12.25580582,,,,,0.064624752268501,-2.234752835421456,,4.435737455294649,200.88474206366098,18,3,['F' 'Mn' 'O'],"F,Mn,O",Triclinic,True,True,23.0002589,FM,,False,False,False,0.021332191695413515,0.012319142951902382,0.27458482609966306,0.9456102934975505,0.5,0.0,0.0,0.2409018029245684
mp-1203789,MnB4H24(C2N)2,B-C-H-Mn-N,1.9167,0.3794,-1.5373,-1.46178473,False,,,,,,,,,0.19521462249999902,-0.166198011059934,,1.004403867785521,1312.2163034585762,140,5,['B' 'C' 'H' 'Mn' 'N'],"B,C,H,Mn,N",Tetragonal,False,True,20.1353884,FM,,False,False,False,0.3536945712845338,0.029414053100606574,0.020155210266381365,0.5,0.5,0.0,0.0,0.22287455335281975
mp-19882,MnBPbO4,B-Mn-O-Pb,0.910899999999999,4.8411,3.9302,4.128469649999999,False,,,,,,,,,0.0,-2.216731743156814,-0.0262460307334,6.167204367485452,362.89575246259017,28,4,['B' 'Mn' 'O' 'Pb'],"B,Mn,O,Pb",Orthorhombic,False,True,16.0011856,FM,,True,True,False,0.5624819235955834,0.7843464152776096,1.0,0.5,0.5,0.0,0.0,0.6332724431905372
mp-12335,MnCN2,C-Mn-N,0.2076,4.3651,4.1575,4.23206654,False,2.323719098772482,14.885214373336455,9.485543923336456,5.399670449999999,95.244,33.227,1.7000000000000002,0.34400000000000003,0.070496249374999,-0.09281004283944001,,3.35216258073585,47.04078272540674,4,3,['C' 'Mn' 'N'],"C,Mn,N",Trigonal,True,True,4.9998485,FM,,False,False,False,0.018182776120370215,0.009805084295041629,0.2441615976383686,0.46642250857604867,0.8455441151877057,0.0,0.0,0.19941717950020693
